City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,yakeshi,49.2833,120.7333,1.3,24,100,2.37,CN,1682460826
140,vorgashor,67.5833,63.95,-12.93,99,64,3.67,RU,1682460827
141,leo,11.1,-2.1,32.13,32,83,2.59,BF,1682460827
142,sattahip,12.6664,100.9007,29.99,89,20,1.54,TH,1682460827
143,kiunga,-6.1219,141.2906,24.37,98,97,0.33,PG,1682460827
144,saipan,15.1355,145.701,28.39,100,40,9.26,MP,1682460785
145,andergrove,-21.0833,149.1833,20.91,80,72,8.45,AU,1682460827
146,akrehamn,59.2667,5.1833,5.23,65,20,11.32,NO,1682460827
147,carrefour,18.5411,-72.3992,30.1,54,40,4.63,HT,1682460827
148,camabatela,-8.1881,15.375,17.21,94,31,0.75,AO,1682460827
149,hakui,36.8833,136.7833,15.7,97,100,4.85,JP,1682460828
150,sitka,57.0531,-135.33,5.94,70,100,5.14,US,1682460828
151,segou,13.4317,-6.2157,33.79,12,3,3.88,ML,1682460828
152,arno,60.1167,18.6333,4.05,97,89,2.0,SE,1682460828
153,lompoc,34.6391,-120.4579,24.27,75,100,3.6,US,1682460662
154,ukhta,63.5671,53.6835,-1.77,98,84,1.54,RU,1682460828
155,cabedelo,-6.9811,-34.8339,27.37,87,100,4.5,BR,1682460753
156,fort bragg,35.139,-79.006,19.39,49,98,2.27,US,1682460828
157,as sulayyil,20.4607,45.5779,26.52,44,78,6.3,SA,1682460828
158,ketchikan,55.3422,-131.6461,9.26,53,75,8.23,US,1682460829
159,adi keyh,14.8444,39.3772,17.53,61,71,1.34,ER,1682460829
160,tsiombe,-25.3,45.4833,17.7,77,6,1.44,MG,1682460829
161,yahyali,38.1023,35.357,8.99,82,89,2.51,TR,1682460829
162,pechora,65.1472,57.2244,-8.34,98,38,1.22,RU,1682460829
163,figuig (centre),32.1089,-1.2286,25.43,19,0,2.35,MA,1682460829
164,papao,-17.75,-149.55,28.7,84,100,6.35,PF,1682460829
165,newman,37.3138,-121.0208,27.38,27,15,4.47,US,1682460829
166,sile,41.1754,29.6133,15.87,56,93,0.45,TR,1682460829
167,galveston,29.3669,-94.9669,26.14,79,100,5.14,US,1682460589
168,uribia,11.7139,-72.266,29.95,54,15,6.34,CO,1682460830
169,dudinka,69.4058,86.1778,-0.21,98,100,3.43,RU,1682460830
170,khandyga,62.6667,135.6,-1.43,91,94,0.97,RU,1682460830
171,burang,30.25,81.1667,-6.59,84,72,0.29,CN,1682460830
172,sinjai,-5.1241,120.253,23.78,90,100,1.7,ID,1682460830
173,biloela,-24.4167,150.5,19.65,62,0,7.63,AU,1682460830
174,la'ie,21.6477,-157.9253,28.98,82,100,2.68,US,1682460830
175,ihtiman,42.4333,23.8167,10.65,73,100,1.34,BG,1682460830
176,tofol,5.3248,163.0078,29.88,79,75,4.63,FM,1682460831
177,stanley,54.868,-1.6985,3.77,86,0,1.03,GB,1682460814
178,viedma,-40.8135,-62.9967,20.68,48,100,0.97,AR,1682460576
179,san blas,21.5167,-105.2667,36.94,44,54,3.43,MX,1682460831
180,manokwari,-0.8667,134.0833,25.99,81,92,0.8,ID,1682460831
181,salaqi,40.5414,110.5108,6.71,26,33,3.73,CN,1682460831
182,dogondoutchi,13.6393,4.0287,32.24,11,39,2.5,NE,1682460831
183,kayangel,8.0823,134.7173,28.43,73,27,3.16,PW,1682460831
184,bilibino,68.0546,166.4372,-5.82,60,37,0.12,RU,1682460831
185,al hazm,16.1641,44.7769,27.54,32,90,2.0,YE,1682460831
186,port moresby,-9.4431,147.1797,26.01,85,97,1.92,PG,1682460726
187,tazovsky,67.4667,78.7,-11.15,98,100,3.4,RU,1682460832
188,vadso,70.0744,29.7487,-1.51,80,0,3.6,NO,1682460789
189,ancud,-41.8697,-73.8203,11.71,97,100,2.78,CL,1682460832
190,lehigh acres,26.6254,-81.6248,29.45,62,0,6.17,US,1682460832
191,chibougamau,49.9168,-74.3659,5.79,81,75,2.06,CA,1682460832
192,nueva concepcion,14.2,-91.3,32.95,48,74,6.61,GT,1682460832
193,maceio,-9.6658,-35.7353,25.69,94,75,1.54,BR,1682460821
194,villa yapacani,-17.4,-63.8333,23.12,89,28,0.34,BO,1682460832
195,bastrop,32.7562,-91.8724,22.82,35,40,3.09,US,1682460765
196,trincomalee,8.5711,81.2335,27.9,79,100,1.14,LK,1682460832
197,susuman,62.7833,148.1667,-7.3,92,97,1.09,RU,1682460833
198,san clemente del tuyu,-36.3569,-56.7235,18.21,88,67,2.49,AR,1682460599
199,santo antonio,-6.3106,-35.4789,23.7,92,100,2.77,BR,1682460833
200,choibalsan,48.0667,114.5,5.18,23,29,7.76,MN,1682460833
201,santa maria,-29.6842,-53.8069,18.66,95,100,2.45,BR,1682460598
202,grand-bassam,5.2118,-3.7388,27.98,84,81,4.51,CI,1682460833
203,estrela,-28.0611,-50.9383,15.14,94,87,2.13,BR,1682460833
204,ramapuram,13.1167,79.2,25.75,87,93,2.32,IN,1682460710
205,luwuk,-0.9516,122.7875,25.62,88,86,0.65,ID,1682460237
206,celestun,20.8667,-90.4,28.75,69,60,4.52,MX,1682460833
207,kuching,1.55,110.3333,26.74,89,20,0.0,MY,1682460833
208,kingston,17.997,-76.7936,27.36,77,66,0.45,JM,1682460590
209,petropavlovsk-kamchatsky,53.0452,158.6483,4.33,52,75,2.0,RU,1682460656
210,soio,-6.1349,12.3689,26.34,89,97,2.87,AO,1682460834
211,kutum,14.2,24.6667,27.96,19,56,2.68,SD,1682460834
212,kouango,4.9934,19.9619,23.51,89,100,1.02,CF,1682460834
213,petushki,55.9264,39.461,10.35,94,100,3.34,RU,1682460834
214,paveh,35.0434,46.3565,8.17,66,0,0.37,IR,1682460834
215,north bend,43.4065,-124.2243,22.91,64,0,10.8,US,1682460834
216,kalispell,48.1958,-114.3129,14.6,46,40,5.66,US,1682460834
217,alghero,40.5589,8.3181,16.05,94,40,2.06,IT,1682460834
218,roosendaal,51.5308,4.4653,6.64,87,10,1.82,NL,1682460835
219,yima,34.7381,111.8839,10.09,66,0,1.54,CN,1682460835
220,utrik,11.2278,169.8474,27.03,79,85,8.46,MH,1682460835
221,hithadhoo,-0.6,73.0833,28.76,75,100,5.94,MV,1682460835
222,fort mcmurray,56.7268,-111.381,6.73,75,100,2.06,CA,1682460835
223,uturoa,-16.7333,-151.4333,28.0,76,18,4.9,PF,1682460835
224,al fuwayliq,26.4432,43.2534,20.58,66,43,5.25,SA,1682460835
225,labrador city,52.9463,-66.9114,7.76,74,71,2.15,CA,1682460835
226,nogliki,51.8333,143.1667,1.1,86,100,3.88,RU,1682460835
227,la ronge,55.1001,-105.2842,6.12,75,100,6.17,CA,1682460835
